time,x,y,health
0.000000,0.866667,0.733333,healthy
0.005000,0.863707,0.737363,healthy
0.010000,0.860748,0.741393,healthy
0.015000,0.857788,0.745423,healthy
0.020000,0.854828,0.749453,healthy
0.025000,0.851869,0.753483,healthy
0.030000,0.848909,0.757513,healthy
0.035000,0.845950,0.761543,healthy
0.040000,0.842990,0.765573,healthy
0.045000,0.840031,0.769603,healthy
0.050000,0.837071,0.773633,healthy
0.055000,0.834111,0.777663,healthy
0.060000,0.831152,0.781693,healthy
0.065000,0.828192,0.785723,healthy
0.070000,0.825233,0.789753,healthy
0.075000,0.822273,0.793783,healthy
0.080000,0.819314,0.797813,healthy
0.085000,0.816354,0.801844,healthy
0.090000,0.813395,0.805874,healthy
0.095000,0.810435,0.809904,healthy
0.100000,0.807475,0.813934,healthy
0.105000,0.804516,0.817964,healthy
0.110000,0.801556,0.821994,healthy
0.115000,0.798597,0.826024,healthy
0.120000,0.795637,0.830054,healthy
0.125000,0.792678,0.834084,healthy
0.130000,0.789718,0.838114,healthy
0.135000,0.786758,0.842144,healthy
0.140000,0.783799,0.846174,healthy
0.145000,0.780839,0.850204,healthy
0.150000,0.777880,0.854234,healthy
0.155000,0.774920,0.858264,healthy
0.160000,0.771961,0.862294,healthy
0.165000,0.769001,0.866324,healthy
0.170000,0.766041,0.870354,healthy
0.175000,0.763082,0.874384,healthy
0.180000,0.760122,0.878414,healthy
0.185000,0.757163,0.882444,healthy
0.190000,0.754203,0.886474,healthy
0.195000,0.751244,0.890504,healthy
0.200000,0.748284,0.894534,healthy
0.205000,0.745325,0.898564,healthy
0.210000,0.742365,0.902594,healthy
0.215000,0.739405,0.906624,healthy
0.220000,0.736446,0.910654,healthy
0.225000,0.733486,0.914684,healthy
0.230000,0.730527,0.918714,healthy
0.235000,0.727567,0.922744,healthy
0.240000,0.724608,0.926774,healthy
0.245000,0.721648,0.930804,healthy
0.250000,0.718688,0.934834,healthy
0.255000,0.715729,0.938864,healthy
0.260000,0.712769,0.942894,healthy
0.265000,0.709810,0.946924,healthy
0.270000,0.708877,0.951836,healthy
0.275000,0.707945,0.956748,healthy
0.280000,0.707013,0.961661,healthy
0.285000,0.706080,0.966573,healthy
0.290000,0.705148,0.971485,healthy
0.295000,0.704215,0.976398,healthy
0.300000,0.703283,0.981310,healthy
0.305000,0.702351,0.986222,healthy
0.310000,0.701418,0.991135,healthy
0.315000,0.700486,0.986222,healthy
0.320000,0.699553,0.981310,healthy
0.325000,0.698621,0.976398,healthy
0.330000,0.697689,0.971485,healthy
0.335000,0.696756,0.966573,healthy
0.340000,0.695824,0.961661,healthy
0.345000,0.694892,0.956748,healthy
0.350000,0.693959,0.951836,healthy
