time,x,y,health
0.000000,0.266667,0.666667,healthy
0.005000,0.271063,0.669048,healthy
0.010000,0.275460,0.671430,healthy
0.015000,0.279856,0.673811,healthy
0.020000,0.284252,0.676192,healthy
0.025000,0.288649,0.678574,healthy
0.030000,0.293045,0.680955,healthy
0.035000,0.297442,0.683337,healthy
0.040000,0.301838,0.685718,healthy
0.045000,0.306235,0.688100,healthy
0.050000,0.310631,0.690481,healthy
0.055000,0.315028,0.692863,healthy
0.060000,0.319424,0.695244,healthy
0.065000,0.323820,0.697625,healthy
0.070000,0.328217,0.700007,healthy
0.075000,0.332613,0.702388,healthy
0.080000,0.337010,0.704770,healthy
0.085000,0.341406,0.707151,healthy
0.090000,0.345803,0.709533,healthy
0.095000,0.350199,0.711914,healthy
0.100000,0.348375,0.707259,healthy
0.105000,0.346550,0.702603,healthy
0.110000,0.344726,0.697948,healthy
0.115000,0.342901,0.693293,healthy
0.120000,0.341077,0.688638,healthy
0.125000,0.339253,0.683982,healthy
0.130000,0.341077,0.688638,healthy
0.135000,0.342901,0.693293,healthy
0.140000,0.344726,0.697948,healthy
0.145000,0.339738,0.697595,healthy
0.150000,0.334751,0.697241,healthy
0.155000,0.329763,0.696887,healthy
0.160000,0.324776,0.696534,healthy
0.165000,0.319789,0.696180,healthy
0.170000,0.314801,0.695826,healthy
0.175000,0.309814,0.695473,healthy
0.180000,0.304826,0.695119,healthy
0.185000,0.299839,0.694765,healthy
0.190000,0.294851,0.694412,healthy
0.195000,0.289864,0.694058,healthy
0.200000,0.284876,0.693704,healthy
0.205000,0.279889,0.693350,healthy
0.210000,0.274901,0.692997,healthy
0.215000,0.269914,0.692643,healthy
0.220000,0.264926,0.692289,healthy
0.225000,0.259939,0.691936,healthy
0.230000,0.254951,0.691582,healthy
0.235000,0.249964,0.691228,healthy
0.240000,0.244976,0.690875,healthy
0.245000,0.239989,0.690521,healthy
0.250000,0.235001,0.690167,healthy
0.255000,0.230014,0.689814,healthy
0.260000,0.225026,0.689460,healthy
0.265000,0.220039,0.689106,healthy
0.270000,0.215052,0.688753,healthy
0.275000,0.210064,0.688399,healthy
0.280000,0.205077,0.688045,healthy
0.285000,0.200089,0.687692,healthy
0.290000,0.195102,0.687338,healthy
0.295000,0.190114,0.686984,healthy
0.300000,0.185127,0.686631,healthy
0.305000,0.180139,0.686277,healthy
0.310000,0.175152,0.685923,healthy
0.315000,0.170164,0.685570,healthy
0.320000,0.165177,0.685216,healthy
0.325000,0.160189,0.684862,healthy
0.330000,0.155202,0.684509,healthy
0.335000,0.150214,0.684155,healthy
0.340000,0.145227,0.683801,healthy
0.345000,0.140239,0.683448,healthy
0.350000,0.135252,0.683094,healthy
0.355000,0.130264,0.682740,healthy
0.360000,0.125277,0.682387,healthy
0.365000,0.120289,0.682033,healthy
0.370000,0.115302,0.681679,healthy
0.375000,0.110315,0.681326,healthy
0.380000,0.105327,0.680972,healthy
0.385000,0.100340,0.680618,healthy
0.390000,0.095352,0.680265,healthy
0.395000,0.090365,0.679911,healthy
0.400000,0.085377,0.679557,healthy
0.405000,0.080390,0.679204,healthy
0.410000,0.085377,0.679557,healthy
0.415000,0.090365,0.679911,healthy
0.420000,0.095352,0.680265,healthy
0.425000,0.100340,0.680618,healthy
0.430000,0.105327,0.680972,healthy
0.435000,0.110315,0.681326,healthy
0.440000,0.115302,0.681679,healthy
0.445000,0.120289,0.682033,healthy
0.450000,0.125277,0.682387,healthy
0.455000,0.130264,0.682740,healthy
0.460000,0.135252,0.683094,healthy
0.465000,0.140239,0.683448,healthy
0.470000,0.145227,0.683801,healthy
0.475000,0.150214,0.684155,healthy
0.480000,0.155202,0.684509,healthy
0.485000,0.160189,0.684862,healthy
0.490000,0.157352,0.680745,healthy
0.495000,0.154516,0.676628,healthy
0.500000,0.151679,0.672510,healthy
0.505000,0.148842,0.668393,healthy
0.510000,0.146005,0.664276,healthy
0.515000,0.143168,0.660159,healthy
0.520000,0.140331,0.656041,healthy
0.525000,0.137494,0.651924,healthy
0.530000,0.134657,0.647807,healthy
0.535000,0.131820,0.643689,healthy
0.540000,0.128984,0.639572,healthy
0.545000,0.126147,0.635455,healthy
0.550000,0.123310,0.631338,healthy
0.555000,0.120473,0.627220,healthy
0.560000,0.117636,0.623103,healthy
0.565000,0.114799,0.618986,healthy
0.570000,0.111962,0.614868,healthy
0.575000,0.109125,0.610751,healthy
0.580000,0.106289,0.606634,healthy
0.585000,0.103452,0.602517,healthy
0.590000,0.100615,0.598399,healthy
0.595000,0.097778,0.594282,healthy
0.600000,0.094941,0.590165,healthy
0.605000,0.092104,0.586047,healthy
0.610000,0.089267,0.581930,healthy
0.615000,0.086430,0.577813,healthy
0.620000,0.083593,0.573695,healthy
0.625000,0.080757,0.569578,healthy
0.630000,0.077920,0.565461,healthy
0.635000,0.075083,0.561344,healthy
0.640000,0.072246,0.557226,healthy
0.645000,0.069409,0.553109,healthy
0.650000,0.066572,0.548992,healthy
0.655000,0.063735,0.544874,healthy
0.660000,0.060898,0.540757,healthy
0.665000,0.058062,0.536640,healthy
0.670000,0.055225,0.532523,healthy
0.675000,0.052388,0.528405,healthy
0.680000,0.049551,0.524288,healthy
0.685000,0.046714,0.520171,healthy
0.690000,0.043877,0.516053,healthy
0.695000,0.038879,0.516182,healthy
0.700000,0.033880,0.516312,healthy
0.705000,0.028882,0.516441,healthy
0.710000,0.023884,0.516570,healthy
0.715000,0.018885,0.516699,healthy
0.720000,0.013887,0.516828,healthy
0.725000,0.008889,0.516957,healthy
0.730000,0.013887,0.517086,healthy
0.735000,0.018885,0.517216,healthy
0.740000,0.023884,0.517345,healthy
0.745000,0.023465,0.522327,healthy
0.750000,0.023047,0.527310,healthy
0.755000,0.022628,0.532292,healthy
0.760000,0.022210,0.537274,healthy
0.765000,0.021791,0.542257,healthy
0.770000,0.021372,0.547239,healthy
0.775000,0.020954,0.552222,healthy
0.780000,0.020535,0.557204,healthy
0.785000,0.020117,0.562187,healthy
0.790000,0.019698,0.567169,healthy
0.795000,0.019280,0.572152,healthy
0.800000,0.018861,0.577134,healthy
0.805000,0.018443,0.582116,healthy
0.810000,0.018024,0.587099,healthy
0.815000,0.017606,0.592081,healthy
0.820000,0.017187,0.597064,healthy
0.825000,0.016768,0.602046,healthy
0.830000,0.016350,0.607029,healthy
0.835000,0.015931,0.612011,healthy
0.840000,0.015513,0.616994,healthy
0.845000,0.015094,0.621976,healthy
0.850000,0.014676,0.626959,healthy
0.855000,0.014257,0.631941,healthy
0.860000,0.013839,0.636923,healthy
0.865000,0.013420,0.641906,healthy
0.870000,0.013002,0.646888,healthy
0.875000,0.012583,0.651871,healthy
0.880000,0.012164,0.656853,healthy
0.885000,0.011746,0.661836,healthy
0.890000,0.011327,0.666818,healthy
0.895000,0.010909,0.671801,healthy
0.900000,0.010490,0.676783,healthy
0.905000,0.010072,0.681766,healthy
0.910000,0.009653,0.686748,healthy
0.915000,0.010072,0.691730,healthy
0.920000,0.010490,0.696713,healthy
0.925000,0.010909,0.701695,healthy
0.930000,0.011327,0.706678,healthy
0.935000,0.011746,0.711660,healthy
0.940000,0.012164,0.716643,healthy
0.945000,0.012583,0.721625,healthy
0.950000,0.013002,0.726608,healthy
0.955000,0.013420,0.731590,healthy
