time,x,y,health
0.000000,0.800000,0.066667,healthy
0.005000,0.804407,0.069028,healthy
0.010000,0.808815,0.071389,healthy
0.015000,0.813222,0.073750,healthy
0.020000,0.817629,0.076112,healthy
0.025000,0.822037,0.078473,healthy
0.030000,0.826444,0.080834,healthy
0.035000,0.830851,0.083195,healthy
0.040000,0.835259,0.085557,healthy
0.045000,0.839666,0.087918,healthy
0.050000,0.844073,0.090279,healthy
0.055000,0.848481,0.092640,healthy
0.060000,0.852888,0.095002,healthy
0.065000,0.857295,0.097363,healthy
0.070000,0.861702,0.099724,healthy
0.075000,0.866110,0.102085,healthy
0.080000,0.870517,0.104447,healthy
0.085000,0.874924,0.106808,healthy
0.090000,0.879332,0.109169,healthy
0.095000,0.883739,0.111530,healthy
0.100000,0.888146,0.113892,healthy
0.105000,0.892554,0.116253,healthy
0.110000,0.896961,0.118614,healthy
0.115000,0.901368,0.120976,healthy
0.120000,0.905776,0.123337,healthy
0.125000,0.910183,0.125698,healthy
0.130000,0.914590,0.128059,healthy
0.135000,0.910183,0.125698,healthy
0.140000,0.905776,0.123337,healthy
0.145000,0.901368,0.120976,healthy
0.150000,0.896961,0.118614,healthy
0.155000,0.892554,0.116253,healthy
0.160000,0.888146,0.113892,healthy
0.165000,0.883739,0.111530,healthy
0.170000,0.879332,0.109169,healthy
0.175000,0.874924,0.106808,healthy
0.180000,0.870517,0.104447,healthy
0.185000,0.866110,0.102085,healthy
0.190000,0.861702,0.099724,healthy
0.195000,0.857295,0.097363,healthy
0.200000,0.852888,0.095002,healthy
0.205000,0.848481,0.092640,healthy
0.210000,0.844073,0.090279,healthy
0.215000,0.839666,0.087918,healthy
0.220000,0.835259,0.085557,healthy
0.225000,0.830851,0.083195,healthy
0.230000,0.826444,0.080834,healthy
0.235000,0.822037,0.078473,healthy
0.240000,0.817629,0.076112,healthy
0.245000,0.813222,0.073750,healthy
0.250000,0.808815,0.071389,healthy
0.255000,0.804407,0.069028,healthy
0.260000,0.800000,0.066667,healthy
0.265000,0.795593,0.064305,healthy
0.270000,0.791185,0.061944,healthy
0.275000,0.786778,0.059583,healthy
0.280000,0.782371,0.057222,healthy
