time,x,y,health
0.000000,0.266667,0.800000,healthy
0.005000,0.267065,0.795016,healthy
0.010000,0.267464,0.790032,healthy
0.015000,0.267862,0.785048,healthy
0.020000,0.268261,0.780064,healthy
0.025000,0.268659,0.775080,healthy
0.030000,0.269212,0.780049,healthy
0.035000,0.269766,0.785018,healthy
0.040000,0.270319,0.789987,healthy
0.045000,0.270873,0.794957,healthy
0.050000,0.271426,0.799926,healthy
0.055000,0.271980,0.804895,healthy
0.060000,0.272533,0.809864,healthy
0.065000,0.273087,0.814834,healthy
0.070000,0.273640,0.819803,healthy
0.075000,0.274194,0.824772,healthy
0.080000,0.274747,0.829742,healthy
0.085000,0.275301,0.834711,healthy
0.090000,0.275854,0.839680,healthy
0.095000,0.276407,0.844649,healthy
0.100000,0.276961,0.849619,healthy
0.105000,0.277514,0.854588,healthy
0.110000,0.278068,0.859557,healthy
0.115000,0.282235,0.856794,healthy
0.120000,0.286403,0.854032,healthy
0.125000,0.290570,0.851269,healthy
0.130000,0.294737,0.848506,healthy
0.135000,0.298905,0.845743,healthy
0.140000,0.303072,0.842980,healthy
0.145000,0.307239,0.840218,healthy
0.150000,0.311407,0.837455,healthy
0.155000,0.315574,0.834692,healthy
0.160000,0.319741,0.831929,healthy
0.165000,0.323909,0.829166,healthy
0.170000,0.328076,0.826403,healthy
0.175000,0.332243,0.823641,healthy
0.180000,0.336411,0.820878,healthy
0.185000,0.340578,0.818115,healthy
0.190000,0.344746,0.815352,healthy
0.195000,0.348667,0.818454,healthy
0.200000,0.352588,0.821556,healthy
0.205000,0.356510,0.824658,healthy
0.210000,0.360431,0.827760,healthy
0.215000,0.364352,0.830863,healthy
0.220000,0.368274,0.833965,healthy
0.225000,0.372195,0.837067,healthy
0.230000,0.376117,0.840169,healthy
0.235000,0.380038,0.843271,healthy
0.240000,0.383959,0.846373,healthy
0.245000,0.387881,0.849475,healthy
0.250000,0.391802,0.852577,healthy
0.255000,0.387881,0.849475,healthy
0.260000,0.389705,0.854130,healthy
0.265000,0.387881,0.849475,healthy
0.270000,0.386056,0.844820,healthy
0.275000,0.384232,0.840164,healthy
0.280000,0.382408,0.835509,healthy
0.285000,0.380583,0.830854,healthy
0.290000,0.378759,0.826199,healthy
0.295000,0.380702,0.830805,healthy
0.300000,0.382646,0.835412,healthy
0.305000,0.384589,0.840019,healthy
0.310000,0.386533,0.844626,healthy
0.315000,0.388477,0.849232,healthy
0.320000,0.390420,0.853839,healthy
0.325000,0.388477,0.849232,healthy
0.330000,0.386533,0.844626,healthy
0.335000,0.384589,0.840019,healthy
0.340000,0.382646,0.835412,healthy
0.345000,0.380702,0.830805,healthy
0.350000,0.378759,0.826199,healthy
0.355000,0.376815,0.821592,healthy
0.360000,0.374871,0.816985,healthy
0.365000,0.372928,0.812378,healthy
0.370000,0.370984,0.807771,healthy
0.375000,0.369041,0.803165,healthy
0.380000,0.367097,0.798558,healthy
0.385000,0.365153,0.793951,healthy
0.390000,0.363210,0.789344,healthy
0.395000,0.361266,0.784737,healthy
0.400000,0.359323,0.780131,healthy
0.405000,0.357379,0.775524,healthy
0.410000,0.355435,0.770917,healthy
0.415000,0.353492,0.766310,healthy
0.420000,0.351548,0.761704,healthy
0.425000,0.349605,0.757097,healthy
0.430000,0.347661,0.752490,healthy
0.435000,0.345717,0.747883,healthy
0.440000,0.347661,0.752490,healthy
0.445000,0.349605,0.757097,healthy
0.450000,0.351548,0.761704,healthy
0.455000,0.352102,0.756734,healthy
0.460000,0.352655,0.751765,healthy
0.465000,0.353209,0.746796,healthy
0.470000,0.353762,0.741826,healthy
0.475000,0.354316,0.736857,healthy
0.480000,0.354869,0.731888,healthy
0.485000,0.356693,0.736543,healthy
0.490000,0.358518,0.741198,healthy
0.495000,0.360342,0.745854,healthy
0.500000,0.362167,0.750509,healthy
0.505000,0.363991,0.755164,healthy
0.510000,0.365816,0.759820,healthy
0.515000,0.367640,0.764475,healthy
0.520000,0.369464,0.769130,healthy
0.525000,0.371289,0.773785,healthy
0.530000,0.373113,0.778441,healthy
0.535000,0.374938,0.783096,healthy
0.540000,0.376762,0.787751,healthy
0.545000,0.378587,0.792406,healthy
0.550000,0.380411,0.797062,healthy
0.555000,0.382235,0.801717,healthy
0.560000,0.384060,0.806372,healthy
0.565000,0.382116,0.801765,healthy
0.570000,0.380173,0.797159,healthy
0.575000,0.378229,0.792552,healthy
0.580000,0.382344,0.795392,healthy
0.585000,0.386459,0.798233,healthy
0.590000,0.390573,0.801073,healthy
0.595000,0.394688,0.803914,healthy
0.600000,0.398803,0.806754,healthy
0.605000,0.402918,0.809595,healthy
0.610000,0.407033,0.812435,healthy
0.615000,0.411147,0.815276,healthy
0.620000,0.415262,0.818116,healthy
0.625000,0.419377,0.820957,healthy
0.630000,0.423492,0.823797,healthy
0.635000,0.427607,0.826638,healthy
0.640000,0.431721,0.829478,healthy
0.645000,0.435836,0.832319,healthy
0.650000,0.439951,0.835159,healthy
0.655000,0.444066,0.838000,healthy
0.660000,0.448181,0.840840,healthy
0.665000,0.452295,0.843681,healthy
0.670000,0.456410,0.846521,healthy
0.675000,0.460525,0.849362,healthy
0.680000,0.456410,0.846521,healthy
0.685000,0.452295,0.843681,healthy
0.690000,0.448181,0.840840,healthy
0.695000,0.444066,0.838000,healthy
0.700000,0.439951,0.835159,healthy
0.705000,0.435836,0.832319,healthy
0.710000,0.431721,0.829478,healthy
0.715000,0.427607,0.826638,healthy
0.720000,0.423492,0.823797,healthy
0.725000,0.419377,0.820957,healthy
0.730000,0.415262,0.818116,healthy
0.735000,0.411147,0.815276,healthy
0.740000,0.407033,0.812435,healthy
0.745000,0.402918,0.809595,healthy
0.750000,0.398803,0.806754,healthy
0.755000,0.394688,0.803914,healthy
0.760000,0.390573,0.801073,healthy
0.765000,0.386459,0.798233,healthy
0.770000,0.382344,0.795392,healthy
0.775000,0.378229,0.792552,healthy
0.780000,0.374114,0.789711,healthy
0.785000,0.369999,0.786871,healthy
0.790000,0.368056,0.782264,healthy
0.795000,0.366112,0.777657,healthy
