time,x,y,health
0.000000,0.400000,0.066667,healthy
0.005000,0.399817,0.061670,healthy
0.010000,0.399633,0.056673,healthy
0.015000,0.399450,0.051677,healthy
0.020000,0.399267,0.046680,healthy
0.025000,0.399083,0.041683,healthy
0.030000,0.398900,0.036687,healthy
0.035000,0.398717,0.031690,healthy
0.040000,0.398533,0.026694,healthy
0.045000,0.398350,0.021697,healthy
0.050000,0.398167,0.016700,healthy
0.055000,0.397983,0.011704,healthy
0.060000,0.397800,0.006707,healthy
0.065000,0.397617,0.011704,healthy
0.070000,0.397434,0.016700,healthy
0.075000,0.397250,0.021697,healthy
0.080000,0.397067,0.026694,healthy
0.085000,0.396884,0.031690,healthy
0.090000,0.396700,0.036687,healthy
0.095000,0.396517,0.041683,healthy
0.100000,0.396334,0.046680,healthy
0.105000,0.396150,0.051677,healthy
0.110000,0.395967,0.056673,healthy
0.115000,0.395784,0.061670,healthy
0.120000,0.393459,0.066097,healthy
0.125000,0.391135,0.070524,healthy
0.130000,0.388810,0.074951,healthy
0.135000,0.386486,0.079377,healthy
0.140000,0.384161,0.083804,healthy
0.145000,0.388580,0.081465,healthy
0.150000,0.392999,0.079125,healthy
0.155000,0.397418,0.076786,healthy
0.160000,0.401837,0.074446,healthy
0.165000,0.406256,0.072107,healthy
0.170000,0.410675,0.069767,healthy
0.175000,0.415094,0.067428,healthy
0.180000,0.419513,0.065088,healthy
0.185000,0.423931,0.062749,healthy
0.190000,0.428350,0.060409,healthy
0.195000,0.432769,0.058070,healthy
0.200000,0.437188,0.055730,healthy
0.205000,0.441607,0.053391,healthy
0.210000,0.446026,0.051051,healthy
0.215000,0.450445,0.048712,healthy
0.220000,0.454864,0.046372,healthy
0.225000,0.459283,0.044033,healthy
0.230000,0.463702,0.041693,healthy
0.235000,0.468121,0.039354,healthy
0.240000,0.465694,0.043726,healthy
0.245000,0.463268,0.048097,healthy
0.250000,0.460841,0.052469,healthy
0.255000,0.458414,0.056841,healthy
0.260000,0.455988,0.061213,healthy
0.265000,0.453561,0.065584,healthy
0.270000,0.451135,0.069956,healthy
0.275000,0.448708,0.074328,healthy
0.280000,0.446282,0.078699,healthy
0.285000,0.443855,0.083071,healthy
0.290000,0.441428,0.087443,healthy
0.295000,0.439002,0.091814,healthy
0.300000,0.436575,0.096186,healthy
0.305000,0.434149,0.100558,healthy
0.310000,0.431722,0.104930,healthy
0.315000,0.429296,0.109301,healthy
0.320000,0.426869,0.113673,healthy
0.325000,0.424443,0.118045,healthy
0.330000,0.422016,0.122416,healthy
0.335000,0.419589,0.126788,healthy
0.340000,0.417163,0.131160,healthy
0.345000,0.419878,0.126961,healthy
0.350000,0.422594,0.122763,healthy
0.355000,0.425309,0.118565,healthy
0.360000,0.428025,0.114366,healthy
0.365000,0.430740,0.110168,healthy
0.370000,0.433456,0.105970,healthy
0.375000,0.436171,0.101771,healthy
0.380000,0.438887,0.097573,healthy
0.385000,0.441602,0.093375,healthy
0.390000,0.444318,0.089176,healthy
0.395000,0.447033,0.084978,healthy
0.400000,0.449748,0.080779,healthy
0.405000,0.452464,0.076581,healthy
0.410000,0.455179,0.072383,healthy
0.415000,0.457895,0.068184,healthy
0.420000,0.460610,0.063986,healthy
0.425000,0.463326,0.059788,healthy
0.430000,0.466041,0.055589,healthy
0.435000,0.468757,0.051391,healthy
0.440000,0.471472,0.047193,healthy
0.445000,0.474188,0.042994,healthy
0.450000,0.476903,0.038796,healthy
0.455000,0.479619,0.034597,healthy
0.460000,0.482334,0.030399,healthy
0.465000,0.485049,0.026201,healthy
0.470000,0.487765,0.022002,healthy
0.475000,0.490480,0.017804,healthy
0.480000,0.487000,0.014214,healthy
0.485000,0.483520,0.010624,healthy
0.490000,0.480039,0.007034,healthy
0.495000,0.476559,0.010624,healthy
0.500000,0.473079,0.014214,healthy
0.505000,0.469598,0.017804,healthy
0.510000,0.466118,0.021394,healthy
0.515000,0.462638,0.024984,healthy
0.520000,0.459157,0.028574,healthy
0.525000,0.455677,0.032163,healthy
0.530000,0.452197,0.035753,healthy
0.535000,0.448716,0.039343,healthy
0.540000,0.445236,0.042933,healthy
0.545000,0.441756,0.046523,healthy
0.550000,0.438275,0.050113,healthy
0.555000,0.434795,0.053703,healthy
0.560000,0.431315,0.057293,healthy
0.565000,0.427834,0.060882,healthy
0.570000,0.424354,0.064472,healthy
0.575000,0.420874,0.068062,healthy
0.580000,0.417393,0.071652,healthy
0.585000,0.413913,0.075242,healthy
0.590000,0.410432,0.078832,healthy
0.595000,0.406952,0.082422,healthy
0.600000,0.403472,0.086012,healthy
0.605000,0.399991,0.089601,healthy
0.610000,0.396511,0.093191,healthy
0.615000,0.393031,0.096781,healthy
0.620000,0.389550,0.100371,healthy
0.625000,0.386070,0.103961,healthy
0.630000,0.382590,0.107551,healthy
0.635000,0.379109,0.111141,healthy
0.640000,0.375629,0.114731,healthy
0.645000,0.372149,0.118320,healthy
0.650000,0.368668,0.121910,healthy
0.655000,0.365188,0.125500,healthy
0.660000,0.361708,0.129090,healthy
0.665000,0.358227,0.132680,healthy
0.670000,0.354747,0.136270,healthy
0.675000,0.351267,0.139860,healthy
0.680000,0.354175,0.143927,healthy
0.685000,0.357082,0.147995,healthy
0.690000,0.359990,0.152062,healthy
0.695000,0.362898,0.156129,healthy
0.700000,0.365806,0.160197,healthy
0.705000,0.368714,0.164264,healthy
0.710000,0.371622,0.168332,healthy
0.715000,0.374530,0.172399,healthy
0.720000,0.377438,0.176467,healthy
0.725000,0.380346,0.180534,healthy
0.730000,0.383254,0.184601,healthy
0.735000,0.386162,0.188669,healthy
0.740000,0.389070,0.192736,healthy
0.745000,0.391977,0.196804,healthy
0.750000,0.394885,0.200871,healthy
0.755000,0.397793,0.204939,healthy
0.760000,0.400701,0.209006,healthy
0.765000,0.403609,0.213073,healthy
0.770000,0.406517,0.217141,healthy
0.775000,0.409425,0.221208,healthy
0.780000,0.411749,0.216782,healthy
0.785000,0.414074,0.212355,healthy
0.790000,0.416398,0.207928,healthy
0.795000,0.418723,0.203501,healthy
0.800000,0.421047,0.199074,healthy
0.805000,0.423372,0.194647,healthy
0.810000,0.425696,0.190221,healthy
0.815000,0.428021,0.185794,healthy
0.820000,0.430345,0.181367,healthy
0.825000,0.432670,0.176940,healthy
0.830000,0.434994,0.172513,healthy
0.835000,0.437319,0.168086,healthy
0.840000,0.439643,0.163660,healthy
0.845000,0.441968,0.159233,healthy
0.850000,0.444292,0.154806,healthy
0.855000,0.446617,0.150379,healthy
0.860000,0.448941,0.145952,healthy
0.865000,0.451266,0.141526,healthy
0.870000,0.448941,0.145952,healthy
0.875000,0.446617,0.150379,healthy
0.880000,0.444292,0.154806,healthy
0.885000,0.441968,0.159233,healthy
0.890000,0.439643,0.163660,healthy
0.895000,0.437319,0.168086,healthy
0.900000,0.434994,0.172513,healthy
0.905000,0.439662,0.170722,healthy
0.910000,0.444330,0.168931,healthy
0.915000,0.448999,0.167139,healthy
0.920000,0.453667,0.165348,healthy
0.925000,0.458335,0.163556,healthy
0.930000,0.463003,0.161765,healthy
0.935000,0.467671,0.159974,healthy
0.940000,0.472339,0.158182,healthy
0.945000,0.477007,0.156391,healthy
0.950000,0.481675,0.154600,healthy
0.955000,0.486343,0.152808,healthy
0.960000,0.491011,0.151017,healthy
0.965000,0.495679,0.149225,healthy
0.970000,0.500347,0.147434,healthy
0.975000,0.505016,0.145643,healthy
0.980000,0.509684,0.143851,healthy
0.985000,0.514352,0.142060,healthy
0.990000,0.519020,0.140269,healthy
0.995000,0.523688,0.138477,healthy
1.000000,0.528356,0.136686,healthy
1.005000,0.533024,0.134895,healthy
1.010000,0.537692,0.133103,healthy
1.015000,0.542360,0.131312,healthy
1.020000,0.547028,0.129520,healthy
1.025000,0.551696,0.127729,healthy
1.030000,0.556364,0.125938,healthy
1.035000,0.561033,0.124146,healthy
1.040000,0.565701,0.122355,healthy
1.045000,0.570369,0.120564,healthy
1.050000,0.575037,0.118772,healthy
1.055000,0.579705,0.116981,healthy
1.060000,0.584373,0.115189,healthy
1.065000,0.589041,0.113398,healthy
1.070000,0.593709,0.111607,healthy
1.075000,0.598377,0.109815,healthy
1.080000,0.603045,0.108024,healthy
1.085000,0.607713,0.106233,healthy
1.090000,0.612381,0.104441,healthy
1.095000,0.617050,0.102650,healthy
1.100000,0.621718,0.100859,healthy
1.105000,0.626386,0.099067,healthy
1.110000,0.631054,0.097276,healthy
1.115000,0.635722,0.095484,healthy
1.120000,0.640390,0.093693,healthy
1.125000,0.645058,0.091902,healthy
1.130000,0.649726,0.090110,healthy
