time,x,y,health
0.000000,0.866667,0.133333,healthy
0.005000,0.871622,0.134002,healthy
0.010000,0.876577,0.134671,healthy
0.015000,0.881532,0.135339,healthy
0.020000,0.886487,0.136008,healthy
0.025000,0.891442,0.136677,healthy
0.030000,0.896397,0.137346,healthy
0.035000,0.901352,0.138014,healthy
0.040000,0.906307,0.138683,healthy
0.045000,0.911262,0.139352,healthy
0.050000,0.916217,0.140020,healthy
0.055000,0.911262,0.139352,healthy
0.060000,0.906307,0.138683,healthy
0.065000,0.901352,0.138014,healthy
0.070000,0.896397,0.137346,healthy
0.075000,0.891442,0.136677,healthy
0.080000,0.886487,0.136008,healthy
0.085000,0.881532,0.135339,healthy
0.090000,0.876577,0.134671,healthy
0.095000,0.871622,0.134002,healthy
0.100000,0.866667,0.133333,healthy
0.105000,0.867169,0.128359,healthy
0.110000,0.867671,0.123384,healthy
0.115000,0.868173,0.118409,healthy
0.120000,0.868675,0.113434,healthy
0.125000,0.869178,0.108460,healthy
0.130000,0.869680,0.103485,healthy
0.135000,0.870182,0.098510,healthy
0.140000,0.870684,0.093536,healthy
0.145000,0.871186,0.088561,healthy
0.150000,0.871689,0.083586,healthy
0.155000,0.872191,0.078611,healthy
0.160000,0.872693,0.073637,healthy
0.165000,0.873195,0.068662,healthy
0.170000,0.873697,0.063687,healthy
0.175000,0.874200,0.058713,healthy
0.180000,0.874702,0.053738,healthy
0.185000,0.875204,0.048763,healthy
0.190000,0.875706,0.043788,healthy
0.195000,0.876208,0.038814,healthy
0.200000,0.876711,0.033839,healthy
0.205000,0.877213,0.028864,healthy
0.210000,0.877715,0.023890,healthy
0.215000,0.878217,0.018915,healthy
0.220000,0.878719,0.013940,healthy
0.225000,0.879222,0.008965,healthy
0.230000,0.879724,0.013940,healthy
0.235000,0.880226,0.018915,healthy
0.240000,0.880728,0.023890,healthy
0.245000,0.881230,0.028864,healthy
0.250000,0.881733,0.033839,healthy
0.255000,0.882235,0.038814,healthy
0.260000,0.882737,0.043788,healthy
0.265000,0.883239,0.048763,healthy
0.270000,0.883741,0.053738,healthy
0.275000,0.884244,0.058713,healthy
0.280000,0.884746,0.063687,healthy
0.285000,0.885248,0.068662,healthy
0.290000,0.885750,0.073637,healthy
0.295000,0.886253,0.078611,healthy
0.300000,0.886755,0.083586,healthy
0.305000,0.887257,0.088561,healthy
0.310000,0.887759,0.093536,healthy
0.315000,0.888261,0.098510,healthy
0.320000,0.888764,0.103485,healthy
0.325000,0.889266,0.108460,healthy
0.330000,0.889768,0.113434,healthy
0.335000,0.890270,0.118409,healthy
0.340000,0.890772,0.123384,healthy
0.345000,0.891275,0.128359,healthy
0.350000,0.891777,0.133333,healthy
0.355000,0.892279,0.138308,healthy
0.360000,0.892781,0.143283,healthy
0.365000,0.893283,0.148257,healthy
0.370000,0.893786,0.153232,healthy
0.375000,0.894288,0.158207,healthy
0.380000,0.894790,0.163182,healthy
0.385000,0.895292,0.168156,healthy
0.390000,0.895794,0.173131,healthy
0.395000,0.896297,0.178106,healthy
0.400000,0.896799,0.183080,healthy
0.405000,0.897301,0.188055,healthy
0.410000,0.897803,0.193030,healthy
0.415000,0.898305,0.198005,healthy
0.420000,0.898808,0.202979,healthy
0.425000,0.899310,0.207954,healthy
0.430000,0.899812,0.212929,healthy
0.435000,0.900314,0.217903,healthy
0.440000,0.900816,0.222878,healthy
0.445000,0.901319,0.227853,healthy
0.450000,0.901821,0.232828,healthy
0.455000,0.902323,0.237802,healthy
0.460000,0.902825,0.242777,healthy
0.465000,0.903327,0.247752,healthy
0.470000,0.903830,0.252727,healthy
0.475000,0.904332,0.257701,healthy
0.480000,0.904834,0.262676,healthy
0.485000,0.905336,0.267651,healthy
0.490000,0.905838,0.272625,healthy
