time,x,y,health
0.000000,0.666667,0.866667,healthy
0.005000,0.661671,0.866459,healthy
0.010000,0.656675,0.866252,healthy
0.015000,0.651680,0.866045,healthy
0.020000,0.646684,0.865838,healthy
0.025000,0.641688,0.865630,healthy
0.030000,0.636692,0.865423,healthy
0.035000,0.631697,0.865216,healthy
0.040000,0.626701,0.865008,healthy
0.045000,0.621705,0.864801,healthy
0.050000,0.616710,0.864594,healthy
0.055000,0.621705,0.864801,healthy
0.060000,0.626701,0.865008,healthy
0.065000,0.631697,0.865216,healthy
0.070000,0.636692,0.865423,healthy
0.075000,0.641688,0.865630,healthy
0.080000,0.646684,0.865838,healthy
0.085000,0.651680,0.866045,healthy
0.090000,0.656675,0.866252,healthy
0.095000,0.661671,0.866459,healthy
0.100000,0.666667,0.866667,healthy
0.105000,0.671662,0.866874,healthy
0.110000,0.676658,0.867081,healthy
0.115000,0.681654,0.867289,healthy
0.120000,0.686649,0.867496,healthy
0.125000,0.691645,0.867703,healthy
0.130000,0.696641,0.867910,healthy
0.135000,0.701637,0.868118,healthy
0.140000,0.706632,0.868325,healthy
0.145000,0.711628,0.868532,healthy
0.150000,0.716624,0.868739,healthy
0.155000,0.711628,0.868532,healthy
0.160000,0.706632,0.868325,healthy
0.165000,0.711058,0.870652,healthy
0.170000,0.715483,0.872979,healthy
0.175000,0.711058,0.870652,healthy
0.180000,0.710125,0.875564,healthy
0.185000,0.709193,0.880477,healthy
0.190000,0.708260,0.885389,healthy
0.195000,0.707328,0.890301,healthy
0.200000,0.706396,0.895214,healthy
0.205000,0.705463,0.900126,healthy
0.210000,0.704531,0.905038,healthy
0.215000,0.703599,0.909951,healthy
0.220000,0.702666,0.914863,healthy
0.225000,0.701734,0.919775,healthy
0.230000,0.700801,0.924687,healthy
0.235000,0.699869,0.929600,healthy
0.240000,0.698937,0.934512,healthy
0.245000,0.698004,0.939424,healthy
0.250000,0.697072,0.944337,healthy
0.255000,0.696139,0.949249,healthy
0.260000,0.695207,0.954161,healthy
0.265000,0.694275,0.959073,healthy
0.270000,0.691315,0.963103,healthy
0.275000,0.688355,0.967133,healthy
0.280000,0.685396,0.971163,healthy
0.285000,0.682436,0.975193,healthy
0.290000,0.679477,0.979224,healthy
0.295000,0.676517,0.983254,healthy
0.300000,0.673558,0.987284,healthy
0.305000,0.670598,0.991314,healthy
0.310000,0.667639,0.987284,healthy
0.315000,0.664679,0.983254,healthy
0.320000,0.661719,0.979224,healthy
0.325000,0.658760,0.975193,healthy
0.330000,0.655800,0.971163,healthy
0.335000,0.652841,0.967133,healthy
0.340000,0.649881,0.963103,healthy
0.345000,0.646922,0.959073,healthy
0.350000,0.643962,0.955043,healthy
0.355000,0.641002,0.951013,healthy
0.360000,0.638043,0.946983,healthy
0.365000,0.635083,0.942953,healthy
0.370000,0.632124,0.938923,healthy
0.375000,0.629164,0.934893,healthy
0.380000,0.626205,0.930863,healthy
0.385000,0.623245,0.926833,healthy
0.390000,0.620286,0.922803,healthy
0.395000,0.617326,0.918773,healthy
0.400000,0.614366,0.914743,healthy
0.405000,0.611407,0.910713,healthy
0.410000,0.608447,0.906683,healthy
0.415000,0.605488,0.902653,healthy
0.420000,0.602528,0.898623,healthy
0.425000,0.604700,0.894120,healthy
0.430000,0.606873,0.889616,healthy
0.435000,0.601877,0.889409,healthy
0.440000,0.606648,0.890906,healthy
0.445000,0.611418,0.892404,healthy
0.450000,0.616189,0.893901,healthy
0.455000,0.620959,0.895399,healthy
0.460000,0.625730,0.896896,healthy
0.465000,0.630500,0.898393,healthy
0.470000,0.635271,0.899891,healthy
0.475000,0.640041,0.901388,healthy
0.480000,0.644812,0.902885,healthy
0.485000,0.649582,0.904383,healthy
0.490000,0.654353,0.905880,healthy
0.495000,0.659123,0.907377,healthy
0.500000,0.663894,0.908875,healthy
0.505000,0.668664,0.910372,healthy
0.510000,0.673435,0.911870,healthy
0.515000,0.678205,0.913367,healthy
0.520000,0.682976,0.914864,healthy
0.525000,0.687747,0.916362,healthy
0.530000,0.692517,0.917859,healthy
0.535000,0.697288,0.919356,healthy
0.540000,0.702058,0.920854,healthy
0.545000,0.706829,0.922351,healthy
0.550000,0.711599,0.923848,healthy
0.555000,0.716370,0.925346,healthy
0.560000,0.721140,0.926843,healthy
0.565000,0.725911,0.928341,healthy
0.570000,0.730681,0.929838,healthy
0.575000,0.735452,0.931335,healthy
0.580000,0.740222,0.932833,healthy
0.585000,0.744993,0.934330,healthy
0.590000,0.749763,0.935827,healthy
0.595000,0.754534,0.937325,healthy
0.600000,0.759304,0.938822,healthy
0.605000,0.764075,0.940319,healthy
0.610000,0.768845,0.941817,healthy
0.615000,0.773616,0.943314,healthy
0.620000,0.778387,0.944811,healthy
0.625000,0.783157,0.946309,healthy
0.630000,0.787928,0.947806,healthy
0.635000,0.792698,0.949304,healthy
0.640000,0.787859,0.948044,healthy
0.645000,0.783020,0.946785,healthy
0.650000,0.778182,0.945526,healthy
0.655000,0.773343,0.944266,healthy
0.660000,0.768504,0.943007,healthy
0.665000,0.763665,0.941748,healthy
0.670000,0.758826,0.940488,healthy
0.675000,0.753988,0.939229,healthy
0.680000,0.749149,0.937970,healthy
0.685000,0.744310,0.936710,healthy
0.690000,0.739471,0.935451,healthy
0.695000,0.734632,0.934192,healthy
0.700000,0.729794,0.932932,healthy
0.705000,0.724955,0.931673,healthy
