time,x,y,health
0.000000,0.600000,0.266667,healthy
0.005000,0.602105,0.262131,healthy
0.010000,0.604210,0.257596,healthy
0.015000,0.606315,0.253061,healthy
0.020000,0.608420,0.248526,healthy
0.025000,0.610525,0.243990,healthy
0.030000,0.612630,0.239455,healthy
0.035000,0.614736,0.234920,healthy
0.040000,0.616841,0.230385,healthy
0.045000,0.618946,0.225849,healthy
0.050000,0.621051,0.221314,healthy
0.055000,0.623156,0.216779,healthy
0.060000,0.625261,0.212243,healthy
0.065000,0.627366,0.207708,healthy
0.070000,0.629471,0.203173,healthy
0.075000,0.631576,0.198638,healthy
0.080000,0.633681,0.194102,healthy
0.085000,0.635786,0.189567,healthy
0.090000,0.637891,0.185032,healthy
0.095000,0.639997,0.180497,healthy
0.100000,0.642102,0.175961,healthy
0.105000,0.644207,0.171426,healthy
0.110000,0.646312,0.166891,healthy
0.115000,0.648417,0.162356,healthy
0.120000,0.650522,0.157820,healthy
0.125000,0.652627,0.153285,healthy
0.130000,0.654732,0.148750,healthy
0.135000,0.652627,0.153285,healthy
0.140000,0.650522,0.157820,healthy
0.145000,0.648417,0.162356,healthy
0.150000,0.646312,0.166891,healthy
0.155000,0.644207,0.171426,healthy
0.160000,0.642102,0.175961,healthy
0.165000,0.639997,0.180497,healthy
0.170000,0.637891,0.185032,healthy
0.175000,0.635786,0.189567,healthy
0.180000,0.633681,0.194102,healthy
0.185000,0.631576,0.198638,healthy
0.190000,0.629471,0.203173,healthy
0.195000,0.627366,0.207708,healthy
0.200000,0.625261,0.212243,healthy
0.205000,0.623156,0.216779,healthy
0.210000,0.621051,0.221314,healthy
0.215000,0.618946,0.225849,healthy
0.220000,0.616841,0.230385,healthy
0.225000,0.614736,0.234920,healthy
0.230000,0.612630,0.239455,healthy
0.235000,0.610525,0.243990,healthy
0.240000,0.608420,0.248526,healthy
0.245000,0.606315,0.253061,healthy
0.250000,0.604210,0.257596,healthy
0.255000,0.602105,0.262131,healthy
0.260000,0.600000,0.266667,healthy
0.265000,0.597895,0.271202,healthy
0.270000,0.595790,0.275737,healthy
0.275000,0.593685,0.280272,healthy
0.280000,0.591580,0.284808,healthy
0.285000,0.589475,0.289343,healthy
0.290000,0.587370,0.293878,healthy
0.295000,0.585264,0.298414,healthy
0.300000,0.583159,0.302949,healthy
0.305000,0.581054,0.307484,healthy
0.310000,0.577275,0.304210,healthy
0.315000,0.573496,0.300936,healthy
0.320000,0.569718,0.297662,healthy
0.325000,0.565939,0.294388,healthy
0.330000,0.562160,0.291114,healthy
0.335000,0.558381,0.287839,healthy
0.340000,0.554602,0.284565,healthy
0.345000,0.550823,0.281291,healthy
0.350000,0.547044,0.278017,healthy
0.355000,0.550823,0.281291,healthy
0.360000,0.554602,0.284565,healthy
0.365000,0.558381,0.287839,healthy
0.370000,0.562160,0.291114,healthy
0.375000,0.565939,0.294388,healthy
0.380000,0.569718,0.297662,healthy
0.385000,0.573496,0.300936,healthy
