time,x,y,health
0.000000,0.466667,0.066667,healthy
0.005000,0.464342,0.062240,healthy
0.010000,0.462018,0.057813,healthy
0.015000,0.459693,0.053386,healthy
0.020000,0.457369,0.048959,healthy
0.025000,0.455044,0.044533,healthy
0.030000,0.452720,0.040106,healthy
0.035000,0.450395,0.035679,healthy
0.040000,0.448071,0.031252,healthy
0.045000,0.445746,0.026825,healthy
0.050000,0.443422,0.022398,healthy
0.055000,0.441097,0.017972,healthy
0.060000,0.438773,0.013545,healthy
0.065000,0.436448,0.009118,healthy
0.070000,0.434124,0.013545,healthy
0.075000,0.431799,0.017972,healthy
0.080000,0.429475,0.022398,healthy
0.085000,0.427150,0.026825,healthy
0.090000,0.424826,0.031252,healthy
0.095000,0.422501,0.035679,healthy
0.100000,0.420177,0.040106,healthy
0.105000,0.417853,0.044533,healthy
0.110000,0.415528,0.048959,healthy
0.115000,0.413204,0.053386,healthy
0.120000,0.408805,0.051008,healthy
0.125000,0.404407,0.048630,healthy
0.130000,0.400009,0.046252,healthy
0.135000,0.395611,0.043874,healthy
0.140000,0.391212,0.041496,healthy
0.145000,0.386814,0.039118,healthy
0.150000,0.382416,0.036740,healthy
0.155000,0.378017,0.034361,healthy
0.160000,0.373619,0.031983,healthy
0.165000,0.369221,0.029605,healthy
0.170000,0.364823,0.027227,healthy
0.175000,0.360424,0.024849,healthy
0.180000,0.356026,0.022471,healthy
0.185000,0.351628,0.020093,healthy
0.190000,0.347230,0.017715,healthy
0.195000,0.342831,0.015337,healthy
0.200000,0.338433,0.012959,healthy
0.205000,0.334035,0.010580,healthy
0.210000,0.329637,0.008202,healthy
0.215000,0.325238,0.010580,healthy
0.220000,0.320840,0.012959,healthy
0.225000,0.316442,0.015337,healthy
0.230000,0.312044,0.017715,healthy
0.235000,0.307645,0.020093,healthy
0.240000,0.303247,0.022471,healthy
0.245000,0.298849,0.024849,healthy
0.250000,0.294451,0.027227,healthy
0.255000,0.290052,0.029605,healthy
0.260000,0.285654,0.031983,healthy
0.265000,0.281256,0.034361,healthy
0.270000,0.276858,0.036740,healthy
0.275000,0.272459,0.039118,healthy
0.280000,0.268061,0.041496,healthy
0.285000,0.263663,0.043874,healthy
0.290000,0.259265,0.046252,healthy
0.295000,0.254866,0.048630,healthy
0.300000,0.250468,0.051008,healthy
0.305000,0.246070,0.053386,healthy
0.310000,0.241672,0.055764,healthy
0.315000,0.241233,0.060745,healthy
0.320000,0.240795,0.065726,healthy
0.325000,0.240356,0.070706,healthy
0.330000,0.239918,0.075687,healthy
0.335000,0.239479,0.080668,healthy
0.340000,0.239041,0.085649,healthy
0.345000,0.238602,0.090629,healthy
0.350000,0.238163,0.095610,healthy
0.355000,0.237725,0.100591,healthy
0.360000,0.237286,0.105572,healthy
0.365000,0.236848,0.110552,healthy
0.370000,0.236409,0.115533,healthy
0.375000,0.235971,0.120514,healthy
0.380000,0.235532,0.125495,healthy
0.385000,0.235094,0.130475,healthy
0.390000,0.234655,0.135456,healthy
0.395000,0.234217,0.140437,healthy
0.400000,0.233778,0.145418,healthy
0.405000,0.230320,0.141807,healthy
0.410000,0.226861,0.138196,healthy
0.415000,0.223402,0.134585,healthy
0.420000,0.219943,0.130975,healthy
0.425000,0.216485,0.127364,healthy
0.430000,0.213026,0.123753,healthy
0.435000,0.209567,0.120143,healthy
0.440000,0.206109,0.116532,healthy
0.445000,0.202650,0.112921,healthy
0.450000,0.199191,0.109311,healthy
0.455000,0.195732,0.105700,healthy
0.460000,0.192274,0.102089,healthy
0.465000,0.188815,0.098478,healthy
0.470000,0.185356,0.094868,healthy
0.475000,0.181897,0.091257,healthy
0.480000,0.178439,0.087646,healthy
0.485000,0.174980,0.084036,healthy
0.490000,0.171521,0.080425,healthy
0.495000,0.168062,0.076814,healthy
0.500000,0.164604,0.073204,healthy
0.505000,0.161145,0.069593,healthy
0.510000,0.157686,0.065982,healthy
0.515000,0.154227,0.062371,healthy
0.520000,0.150769,0.058761,healthy
0.525000,0.147310,0.055150,healthy
0.530000,0.143851,0.051539,healthy
0.535000,0.140392,0.047929,healthy
0.540000,0.136934,0.044318,healthy
0.545000,0.133475,0.040707,healthy
0.550000,0.130016,0.037097,healthy
0.555000,0.126558,0.033486,healthy
0.560000,0.123099,0.029875,healthy
0.565000,0.119640,0.026265,healthy
0.570000,0.116181,0.022654,healthy
0.575000,0.112723,0.019043,healthy
