time,x,y,health
0.000000,0.266667,0.400000,healthy
0.005000,0.270685,0.397024,healthy
0.010000,0.274703,0.394049,healthy
0.015000,0.278721,0.391073,healthy
0.020000,0.282739,0.388097,healthy
0.025000,0.286757,0.385121,healthy
0.030000,0.290775,0.382146,healthy
0.035000,0.294793,0.379170,healthy
0.040000,0.298811,0.376194,healthy
0.045000,0.302830,0.373219,healthy
0.050000,0.306848,0.370243,healthy
0.055000,0.310866,0.367267,healthy
0.060000,0.314884,0.364291,healthy
0.065000,0.318902,0.361316,healthy
0.070000,0.322920,0.358340,healthy
0.075000,0.326938,0.355364,healthy
0.080000,0.330956,0.352389,healthy
0.085000,0.334974,0.349413,healthy
0.090000,0.338993,0.346437,healthy
0.095000,0.343011,0.343462,healthy
0.100000,0.347029,0.340486,healthy
0.105000,0.351047,0.337510,healthy
0.110000,0.355065,0.334534,healthy
0.115000,0.359083,0.331559,healthy
0.120000,0.363101,0.328583,healthy
0.125000,0.367119,0.325607,healthy
0.130000,0.371137,0.322632,healthy
0.135000,0.375155,0.319656,healthy
0.140000,0.379174,0.316680,healthy
0.145000,0.383192,0.313704,healthy
0.150000,0.387210,0.310729,healthy
0.155000,0.391228,0.307753,healthy
0.160000,0.395246,0.304777,healthy
0.165000,0.399264,0.301802,healthy
0.170000,0.403282,0.298826,healthy
0.175000,0.407300,0.295850,healthy
0.180000,0.411318,0.292874,healthy
0.185000,0.414426,0.296791,healthy
0.190000,0.417534,0.300708,healthy
0.195000,0.420642,0.304624,healthy
0.200000,0.423750,0.308541,healthy
0.205000,0.426858,0.312458,healthy
0.210000,0.429966,0.316374,healthy
0.215000,0.433075,0.320291,healthy
0.220000,0.436183,0.324208,healthy
0.225000,0.439291,0.328124,healthy
0.230000,0.442399,0.332041,healthy
0.235000,0.445507,0.335958,healthy
0.240000,0.448615,0.339874,healthy
0.245000,0.443799,0.341219,healthy
0.250000,0.438983,0.342564,healthy
0.255000,0.434167,0.343909,healthy
0.260000,0.429352,0.345254,healthy
0.265000,0.424536,0.346599,healthy
0.270000,0.419720,0.347944,healthy
0.275000,0.414905,0.349289,healthy
0.280000,0.410089,0.350634,healthy
0.285000,0.415056,0.350058,healthy
0.290000,0.420022,0.349483,healthy
0.295000,0.424989,0.348908,healthy
0.300000,0.429956,0.348332,healthy
0.305000,0.427589,0.352737,healthy
0.310000,0.425223,0.357141,healthy
0.315000,0.422856,0.361546,healthy
0.320000,0.420490,0.365950,healthy
0.325000,0.418123,0.370355,healthy
0.330000,0.415757,0.374759,healthy
0.335000,0.413390,0.379164,healthy
0.340000,0.411024,0.383568,healthy
0.345000,0.408657,0.387973,healthy
0.350000,0.406291,0.392377,healthy
0.355000,0.403924,0.396782,healthy
0.360000,0.401558,0.401186,healthy
0.365000,0.399191,0.405591,healthy
0.370000,0.396825,0.409995,healthy
0.375000,0.394458,0.414400,healthy
0.380000,0.392092,0.418804,healthy
0.385000,0.390102,0.414217,healthy
0.390000,0.388112,0.409630,healthy
0.395000,0.386122,0.405044,healthy
0.400000,0.384132,0.400457,healthy
0.405000,0.382143,0.395870,healthy
0.410000,0.380153,0.391283,healthy
0.415000,0.378163,0.386696,healthy
0.420000,0.376173,0.382109,healthy
0.425000,0.374183,0.377522,healthy
0.430000,0.372193,0.372935,healthy
0.435000,0.370204,0.368348,healthy
0.440000,0.368214,0.363761,healthy
0.445000,0.366224,0.359174,healthy
0.450000,0.364234,0.354587,healthy
0.455000,0.362244,0.350000,healthy
0.460000,0.360254,0.345413,healthy
0.465000,0.358265,0.340826,healthy
0.470000,0.356275,0.336239,healthy
0.475000,0.354285,0.331652,healthy
0.480000,0.352295,0.327065,healthy
0.485000,0.350305,0.322478,healthy
0.490000,0.348315,0.317891,healthy
0.495000,0.346326,0.313304,healthy
0.500000,0.344336,0.308717,healthy
0.505000,0.341909,0.313088,healthy
0.510000,0.339483,0.317460,healthy
0.515000,0.337056,0.321832,healthy
0.520000,0.334629,0.326203,healthy
0.525000,0.332203,0.330575,healthy
0.530000,0.329776,0.334947,healthy
0.535000,0.327350,0.339319,healthy
0.540000,0.324923,0.343690,healthy
0.545000,0.322497,0.348062,healthy
0.550000,0.320070,0.352434,healthy
0.555000,0.317644,0.356805,healthy
0.560000,0.315217,0.361177,healthy
0.565000,0.312790,0.365549,healthy
0.570000,0.310364,0.369920,healthy
0.575000,0.305397,0.370496,healthy
0.580000,0.300430,0.371071,healthy
0.585000,0.295463,0.371646,healthy
0.590000,0.290497,0.372222,healthy
0.595000,0.285530,0.372797,healthy
0.600000,0.280563,0.373372,healthy
0.605000,0.275596,0.373948,healthy
0.610000,0.270630,0.374523,healthy
0.615000,0.265663,0.375098,healthy
0.620000,0.260696,0.375674,healthy
0.625000,0.255729,0.376249,healthy
0.630000,0.250762,0.376824,healthy
0.635000,0.245796,0.377400,healthy
0.640000,0.240829,0.377975,healthy
0.645000,0.235862,0.378550,healthy
0.650000,0.230895,0.379126,healthy
0.655000,0.225928,0.379701,healthy
0.660000,0.220962,0.380276,healthy
0.665000,0.215995,0.380852,healthy
0.670000,0.216188,0.385848,healthy
0.675000,0.216381,0.390844,healthy
0.680000,0.216575,0.395840,healthy
0.685000,0.216768,0.400837,healthy
0.690000,0.216961,0.405833,healthy
0.695000,0.217154,0.410829,healthy
0.700000,0.217348,0.415826,healthy
0.705000,0.217541,0.420822,healthy
0.710000,0.217734,0.425818,healthy
0.715000,0.217927,0.430814,healthy
0.720000,0.218120,0.435811,healthy
0.725000,0.218314,0.440807,healthy
0.730000,0.218507,0.445803,healthy
0.735000,0.218700,0.450799,healthy
0.740000,0.218893,0.455796,healthy
0.745000,0.219087,0.460792,healthy
0.750000,0.219280,0.465788,healthy
0.755000,0.219473,0.470784,healthy
0.760000,0.219666,0.475781,healthy
0.765000,0.219860,0.480777,healthy
0.770000,0.220053,0.485773,healthy
0.775000,0.220246,0.490770,healthy
0.780000,0.220439,0.495766,healthy
0.785000,0.220633,0.500762,healthy
0.790000,0.220826,0.505758,healthy
0.795000,0.221019,0.510755,healthy
0.800000,0.221212,0.515751,healthy
0.805000,0.221406,0.520747,healthy
0.810000,0.221599,0.525743,healthy
0.815000,0.221792,0.530740,healthy
0.820000,0.221985,0.535736,healthy
0.825000,0.222179,0.540732,healthy
0.830000,0.222372,0.545728,healthy
0.835000,0.222565,0.550725,healthy
0.840000,0.222758,0.555721,healthy
0.845000,0.222951,0.560717,healthy
0.850000,0.218767,0.557980,healthy
0.855000,0.214583,0.555242,healthy
0.860000,0.210399,0.552505,healthy
0.865000,0.210838,0.547524,healthy
0.870000,0.211276,0.542543,healthy
0.875000,0.211715,0.537563,healthy
0.880000,0.212153,0.532582,healthy
0.885000,0.212592,0.527601,healthy
0.890000,0.213030,0.522620,healthy
0.895000,0.213469,0.517640,healthy
0.900000,0.213907,0.512659,healthy
0.905000,0.218906,0.512788,healthy
0.910000,0.223904,0.512917,healthy
0.915000,0.228902,0.513046,healthy
0.920000,0.233901,0.513175,healthy
0.925000,0.229085,0.511831,healthy
0.930000,0.224269,0.510486,healthy
0.935000,0.219454,0.509141,healthy
0.940000,0.214638,0.507796,healthy
0.945000,0.209822,0.506451,healthy
0.950000,0.205006,0.505106,healthy
0.955000,0.200191,0.503761,healthy
0.960000,0.195375,0.502416,healthy
0.965000,0.190559,0.501071,healthy
0.970000,0.185743,0.499726,healthy
0.975000,0.180928,0.498381,healthy
0.980000,0.176112,0.497037,healthy
0.985000,0.171296,0.495692,healthy
0.990000,0.166481,0.494347,healthy
0.995000,0.161665,0.493002,healthy
1.000000,0.156849,0.491657,healthy
1.005000,0.152033,0.490312,healthy
1.010000,0.147218,0.488967,healthy
1.015000,0.142402,0.487622,healthy
1.020000,0.137586,0.486277,healthy
1.025000,0.132770,0.484932,healthy
1.030000,0.127955,0.483587,healthy
1.035000,0.123139,0.482242,healthy
1.040000,0.118323,0.480898,healthy
1.045000,0.113508,0.479553,healthy
1.050000,0.108692,0.478208,healthy
1.055000,0.103876,0.476863,healthy
1.060000,0.099060,0.475518,healthy
1.065000,0.094245,0.474173,healthy
