time,x,y,health
0.000000,0.266667,0.200000,healthy
0.005000,0.271086,0.197661,healthy
0.010000,0.275505,0.195321,healthy
0.015000,0.279923,0.192982,healthy
0.020000,0.284342,0.190642,healthy
0.025000,0.288761,0.188303,healthy
0.030000,0.293180,0.185963,healthy
0.035000,0.297599,0.183624,healthy
0.040000,0.302018,0.181284,healthy
0.045000,0.305126,0.185201,healthy
0.050000,0.308234,0.189117,healthy
0.055000,0.311342,0.193034,healthy
0.060000,0.314450,0.196951,healthy
0.065000,0.314235,0.201946,healthy
0.070000,0.314019,0.206942,healthy
0.075000,0.313804,0.211937,healthy
0.080000,0.313588,0.216932,healthy
0.085000,0.313372,0.221928,healthy
0.090000,0.313157,0.226923,healthy
0.095000,0.312941,0.231918,healthy
0.100000,0.312726,0.236914,healthy
0.105000,0.312510,0.241909,healthy
0.110000,0.312295,0.246904,healthy
0.115000,0.309668,0.251159,healthy
0.120000,0.313127,0.254769,healthy
0.125000,0.312911,0.259765,healthy
0.130000,0.312696,0.264760,healthy
0.135000,0.312480,0.269755,healthy
0.140000,0.312265,0.274751,healthy
0.145000,0.312049,0.279746,healthy
0.150000,0.311834,0.284741,healthy
0.155000,0.311618,0.289737,healthy
0.160000,0.311402,0.294732,healthy
0.165000,0.311187,0.299728,healthy
0.170000,0.310971,0.304723,healthy
0.175000,0.313687,0.300525,healthy
0.180000,0.316402,0.296326,healthy
0.185000,0.319118,0.292128,healthy
0.190000,0.321833,0.287929,healthy
0.195000,0.324549,0.283731,healthy
0.200000,0.327264,0.279533,healthy
0.205000,0.329980,0.275334,healthy
0.210000,0.332695,0.271136,healthy
0.215000,0.335411,0.266938,healthy
0.220000,0.338126,0.262739,healthy
0.225000,0.340842,0.258541,healthy
0.230000,0.343557,0.254343,healthy
0.235000,0.346272,0.250144,healthy
0.240000,0.348988,0.245946,healthy
0.245000,0.351703,0.241747,healthy
0.250000,0.354419,0.237549,healthy
0.255000,0.352094,0.241976,healthy
0.260000,0.349770,0.246403,healthy
0.265000,0.347445,0.250830,healthy
